Column,code,product_name,generic_name,quantity,packaging_en,packaging_text,brands,brands_tags,categories,categories_tags,labels,labels_tags,first_packaging_code_geo,stores,ingredients_text,ingredients_analysis_tags,allergens,allergens_en,traces,traces_tags,traces_en,serving_size,serving_quantity,additives_n,additives,additives_tags,nutriscore_score,nutriscore_grade,nova_group,ecoscore_score,ecoscore_grade,nutrient_levels_tags,product_quantity,image_url,image_small_url,energy_kj_100g,energy_kcal_100g,energy_100g,energy_from_fat_100g,fat_100g,saturated_fat_100g,butyric_acid_100g,caproic_acid_100g,caprylic_acid_100g,capric_acid_100g,lauric_acid_100g,myristic_acid_100g,palmitic_acid_100g,stearic_acid_100g,arachidic_acid_100g,behenic_acid_100g,lignoceric_acid_100g,cerotic_acid_100g,montanic_acid_100g,melissic_acid_100g,unsaturated_fat_100g,monounsaturated_fat_100g,omega_9_fat_100g,polyunsaturated_fat_100g,omega_3_fat_100g,omega_6_fat_100g,alpha_linolenic_acid_100g,eicosapentaenoic_acid_100g,docosahexaenoic_acid_100g,linoleic_acid_100g,arachidonic_acid_100g,gamma_linolenic_acid_100g,dihomo_gamma_linolenic_acid_100g,oleic_acid_100g,elaidic_acid_100g,gondoic_acid_100g,mead_acid_100g,erucic_acid_100g,nervonic_acid_100g,trans_fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,added_sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,maltodextrins_100g,starch_100g,polyols_100g,erythritol_100g,fiber_100g,soluble_fiber_100g,insoluble_fiber_100g,proteins_100g,casein_100g,serum_proteins_100g,nucleotides_100g,salt_100g,added_salt_100g,sodium_100g,alcohol_100g,vitamin_a_100g,beta_carotene_100g,vitamin_d_100g,vitamin_e_100g,vitamin_k_100g,vitamin_c_100g,vitamin_b1_100g,vitamin_b2_100g,vitamin_pp_100g,vitamin_b6_100g,vitamin_b9_100g,folates_100g,vitamin_b12_100g,biotin_100g,pantothenic_acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits_vegetables_nuts_100g,fruits_vegetables_nuts_dried_100g,fruits_vegetables_nuts_estimate_100g,fruits_vegetables_nuts_estimate_from_ingredients_100g,collagen_meat_protein_ratio_100g,cocoa_100g,chlorophyl_100g,carbon_footprint_100g,carbon_footprint_from_meat_or_fish_100g,nutrition_score_fr_100g,nutrition_score_uk_100g,glycemic_index_100g,water_hardness_100g,choline_100g,phylloquinone_100g,beta_glucan_100g,inositol_100g,carnitine_100g,sulphate_100g,nitrate_100g,acidity_100g
1247,373131516,Popcorn with herbs and spices,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,28.0g,28.0,,,,,unknown,,,unknown,,,,,,140.0,586.0,,8.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,376667647,Egg Bites - cheddar & bacon,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,119.0g,119.0,,,,,unknown,,,unknown,,,https://images.openfoodfacts.org/images/products/000/037/666/7647/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/037/666/7647/front_en.3.200.jpg,,201.680672268908,844.0,,13.4453781512605,6.72268907563025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04201680672269,,,,,,,,,,,,,,,13.4453781512605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,403336973,"Asparagus, risotto",,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,3.0g,3.0,,,,,unknown,,,unknown,,,,,,150.0,628.0,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,461490273,Overnight vanilla oats,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,156.0g,156.0,,,,,unknown,,,unknown,,,https://images.openfoodfacts.org/images/products/000/046/149/0273/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/046/149/0273/front_en.3.200.jpg,,240.0,1004.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,6.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,487929269,Greek Yogurt,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,170.0g,170.0,,,,,unknown,,,unknown,,,,,,230.0,962.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,17.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1398,500543304,Almond Butter,,,,,Trader Joe’ s,trader-joe-s,,,,,,,,,,,,,,32.0g,32.0,,,,,unknown,,,unknown,,,,,,190.0,795.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,4.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,505412773,Greek kalamata olives,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,15.0g,15.0,,,,,unknown,,,unknown,,,https://images.openfoodfacts.org/images/products/000/050/541/2773/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/050/541/2773/front_en.3.200.jpg,,300.0,1255.0,,30.0,3.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,547404828,Organic Hummus,,8 oz,,,Trader Joe’s,trader-joe-s,"Plant-based foods and beverages, Plant-based foods, Condiments, Spreads, Plant-based spreads, Salted spreads, Sauces, Dips, Hummus","en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:spreads,en:plant-based-spreads,en:salted-spreads,en:sauces,en:dips,en:hummus","Organic, USDA Organic","en:organic,en:usda-organic",,,citric acid,"en:palm-oil-free,en:vegan,en:vegetarian",,,,,,28.0g,28.0,1.0,,en:e330,,unknown,1.0,72.0,b,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity",226.796185,https://images.openfoodfacts.org/images/products/000/054/740/4828/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/054/740/4828/front_en.3.200.jpg,,70.0,293.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1467,5487,Potato chips,,,,,Trader Joe's,trader-joe-s,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps","en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps",,,,Trader Joe's,"Unpeeled potatoes, sunflower oil, sea salt.","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,,,1 ONZ (28 g),28.0,0.0,,,10.0,c,3.0,,unknown,"en:fat-in-high-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",,https://images.openfoodfacts.org/images/products/00005487/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/00005487/front_en.3.200.jpg,,536.0,2243.0,,32.14,3.57,,,,,,,,,,,,,,,,25.0,,3.57,,,,,,,,,,,,,,,,0.0,0.0,57.14,0.0,,,,,,,,,,,3.6,,,7.14,,,,0.9375,,0.375,,0.0,,,,,0.0214,,,,,,,,,,,,1.536,,0.0,,0.00129,,,,,,,,,,,,,,,,0.0,,,,,,10.0,,,,,,,,,,,
1470,550049634,American singles,,8 oz,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,19.0g,19.0,,,,,unknown,,,unknown,,226.796185,https://images.openfoodfacts.org/images/products/000/055/004/9634/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/055/004/9634/front_en.3.200.jpg,,315.789473684211,1321.0,,21.0526315789474,10.5263157894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26315789473684,5.26315789473684,,,,,,,,,,,,,,21.0526315789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,594406400,Peanut butter cup,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,25.0g,25.0,,,,,unknown,,,unknown,,,,,,560.0,2343.0,,36.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,44.0,,,,,,,,,,,4.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,595027437,Roasted seaweed snack,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,5.0g,5.0,,,,,unknown,,,unknown,,,,,,30.0,126.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,600036744,Cacio e pepe ravioli,,,,,Trader joe’s,trader-joe-s,,,,,,,,,,,,,,83.0g,83.0,,,,,unknown,,,unknown,,,,,,265.060240963855,1109.0,,7.2289156626506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1204819277108,,,,,,,,,,,,1.20481927710843,,,9.63855421686747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,6163,"Trader joe's, cornichons",,,,,Trader Joe's,trader-joe-s,Salted snacks,en:salted-snacks,,,,Trader Joe's,"Gherkins (cucumbers), water, vinegar, salt, onions,mustgard seeds, tarragon, garlic pepper, natural flavor, contains sulfities.","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,,,28g,28.0,0.0,,,6.0,c,4.0,,unknown,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-high-quantity",,https://images.openfoodfacts.org/images/products/00006163/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/00006163/front_en.5.200.jpg,,18.0,75.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.57,0.0,,,,,,,,,,,3.6,,,0.0,,,,3.035,,1.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5175,,,,,,6.0,,,,,,,,,,,
1564,626742001,Cilantro Dressing,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,30.0g,30.0,,,,,unknown,,,unknown,,,,,,166.666666666667,697.0,,13.3333333333333,1.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66666666666667,,,,,,,,,,,,,,,3.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,626861733,"Rice cracker, multi seed with tamari. Soy sauce",,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,37.0g,37.0,,,,,unknown,,,unknown,,,,,,324.324324324324,1357.0,,2.7027027027027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5675675675676,2.7027027027027,,,,,,,,,,,2.7027027027027,,,8.10810810810811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,650010800,Trader Joe’s Crunch Chili onion,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,1.0g,1.0,,,,,unknown,,,unknown,,,https://images.openfoodfacts.org/images/products/000/065/001/0800/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/065/001/0800/front_en.3.200.jpg,,110.0,460.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,650054569,Fresh Mozzarella Cheese Snackers,,,,,TRADER JOE’S,trader-joe-s,,,,,,,,,,,,,,28.0g,28.0,,,,,unknown,,,unknown,,,,,,250.0,1046.0,,16.0714285714286,10.7142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57142857142857,,,,,,,,,,,,,,,17.8571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,650685930,Florentine lasagna,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,255.0g,255.0,,,,,unknown,,,unknown,,,,,,350.0,1464.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,6.0,,,,,,,,,,,3.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,654248759,Scallion Pancakes,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,100.0g,100.0,,,,,unknown,,,unknown,,,https://images.openfoodfacts.org/images/products/000/065/424/8759/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/065/424/8759/front_en.3.200.jpg,,210.0,879.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,1.0,,,,,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,666999991,Ruby Red Grapefruit Segments,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,198.0g,198.0,,,,,unknown,,,unknown,,,,,,50.5050505050505,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1212121212121,11.6161616161616,,,,,,,,,,,0.505050505050505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,670162039,TJs Roasted Veggie Harvest Bowl,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,262.0g,262.0,,,,,unknown,,,unknown,,,,,,148.854961832061,623.0,,8.3969465648855,0.763358778625954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2671755725191,2.67175572519084,,,,,,,,,,,3.05343511450382,,,4.9618320610687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,670373473,Trader Joe’s Eggwich,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,1.0g,1.0,,,,,unknown,,,unknown,,,,,,190.0,795.0,,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,670529733,Mini Hold The Cone (Coffee Bean),,,,,Trader Joe's,trader-joe-s,,,,,,,,,,,,,,84.0g,84.0,,,,,unknown,,,unknown,,,,,,250.0,1046.0,,14.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,20.0,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,673663335,Sliced Swiss  Cheese,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,1.0g,1.0,,,,,unknown,,,unknown,,,https://images.openfoodfacts.org/images/products/000/067/366/3335/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/067/366/3335/front_en.3.200.jpg,,100.0,418.0,,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,674497496,French Onion Foccacia,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,56.0g,56.0,,,,,unknown,,,unknown,,,,,,130.0,544.0,,2.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,676887349,Peanutty Noodle Bowl with Chicken,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,306.0g,306.0,,,,,unknown,,,unknown,,,https://images.openfoodfacts.org/images/products/000/067/688/7349/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/067/688/7349/front_en.3.200.jpg,,163.398692810458,684.0,,7.51633986928104,1.1437908496732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9738562091503,4.90196078431373,,,,,,,,,,,1.30718954248366,,,6.20915032679739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,679344214,Organic kale,,,,,Trader Joe’s,trader-joe-s,,,,,,,,,,,,,,85.0g,85.0,,,,,unknown,,,unknown,,,,,,40.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
